"Question 2e.1 � Tree Structure (Node, Parent)"
Node,Parent
0,-1
1,6
2,0
3,5
4,13
5,7
6,2
7,6
8,6
9,7
10,14
11,10
12,8
13,14
14,12
15,12

Question 2e.2 � Log CPTs (Flattened)
log P(0|0),log P(1|0),log P(0|1),log P(1|1)
-0.1580113980093997,-1.92305370788196,-0.1580113980093997,-1.92305370788196
-0.08514189445521118,-2.5057049856508664,-0.8778595415068993,-0.5372922762791947
-0.15248793199598212,-1.955945117125556,-1.4370221142202024,-0.27132898805025624
-0.21637736206675076,-1.636969992143992,-1.6476881067974358,-0.2138053150965453
-0.36397099081316653,-1.1871528995670826,-2.68473666619067,-0.07067910807310196
-0.3129980304040387,-1.313978733365678,-2.124325768748986,-0.12728070705112987
-0.1427734298454936,-2.0170338272052346,-1.1214937359825885,-0.3942177710743643
-0.18551196263923125,-1.7759583573826274,-2.171968225796217,-0.12098540719492655
-0.04623898610279366,-3.09696239117986,-1.2369980946319423,-0.3428484394983755
-0.7247691535196185,-0.6624945815542095,-3.7647936602628946,-0.023445094021087767
-0.10575824294653705,-2.2990126479302337,-1.0268631141901177,-0.4433673208420759
-0.3452763641442756,-1.2310859110978123,-2.1632068349299645,-0.12211778749670904
-0.0905778753329617,-2.4464924104345007,-1.0198162724395694,-0.4473207577411603
-0.23140666104366833,-1.5770517940160649,-2.508446190833736,-0.08489864245563607
-0.15478766309613684,-1.942096746696716,-1.4799833706727001,-0.25830642468673637
-0.012778742331860648,-4.36635481112737,-0.6124378637010235,-0.7809469417375229

Question 2e.2 � CPTs (Flattened)
P(0|0),P(1|0),P(0|1),P(1|1)
0.8538400498361045,0.14615995016389552,0.8538400498361045,0.14615995016389552
0.9183819618475,0.08161803815249995,0.4156716881429138,0.5843283118570862
0.8585692551110956,0.14143074488890434,0.2376343540435176,0.7623656459564824
0.8054313052967064,0.19456869470329358,0.19249442113378845,0.8075055788662115
0.6949113532637976,0.30508864673620245,0.06823916130880679,0.9317608386911932
0.7312513528371749,0.2687486471628251,0.11951352085881235,0.8804864791411876
0.8669504717474698,0.13304952825253016,0.3257927825776812,0.6742072174223187
0.8306788984095066,0.16932110159049335,0.11395311059192263,0.8860468894080773
0.9548137477052977,0.0451862522947023,0.2902542271656609,0.709745772834339
0.48443638648331294,0.5155636135166871,0.023172393127550074,0.9768276068724498
0.8996421166148723,0.10035788338512776,0.35812860895948917,0.6418713910405107
0.7080246537992866,0.29197534620071336,0.1149558847679285,0.8850441152320715
0.9134031995528898,0.08659680044711011,0.36066119748820097,0.639338802511799
0.7934167487383079,0.206583251261692,0.08139461273066817,0.9186053872693317
0.8565970453387671,0.1434029546612328,0.22764147387691366,0.7723585261230863
0.9873025591173716,0.012697440882628318,0.5420278670184444,0.4579721329815556

Question 2e.3 � Avg Log-Likelihoods
Split,Avg Log-Likelihood
Train,-6.760055964498731
Test,-6.7590743429784395

Question 2e.4/5 � Marginal Inference Comparison & Runtimes
Match (Exhaustive vs Efficient),False
Exhaustive Result,"[[-0.99375142]
 [-2.75673257]
 [-3.90474284]
 ...
 [-1.7742116 ]
 [-1.53068947]
 [-1.45406551]]"
Efficient Result,"[[ -5.18454709]
 [ -5.33340936]
 [-10.11695583]
 ...
 [ -3.98232853]
 [ -3.83814796]
 [ -5.01788441]]"

Runtime (Exhaustive),301.4564607143402
Runtime (Efficient),4.006591081619263

Accidents Exhaustive Result,"[[-13.50197138]
 [-18.93696549]
 [-10.73137011]
 ...
 [ -9.53340695]
 [ -9.21050172]
 [ -6.16189469]]"
Accidents Run Time,1.0193431377410889

Question 2e.6 � Avg Log-Likelihood of 1000 Samples
Source,Avg Log-Likelihood
Sampled,-6.7120847356255835

